title,album,year,lyrics,word_count,character_count,roberta_label,roberta_confidence,roberta_compound,model_window_score,theme_valence,calibration_anchor,sentiment_windows,label_distribution,textblob_polarity,textblob_subjectivity,midnight,day,night,sun,moon,dark,light,dawn,dusk,time,forever,never,always,memory,remember,forget,hour,moment,yesterday,tomorrow,tonight,clock,timeless,love,heart,break,tears,smile,happy,sad,cry,pain,angry,mad,hurt,scared,fear,hope,dream,lonely,regret,sorry,shame,trust,betrayal,grace,red,blue,golden,white,black,color,paint,gray,silver,green,purple,pink,gold,blonde,rain,storm,snow,winter,summer,spring,autumn,wind,fire,water,ocean,river,sky,star,earth,sea,lightning,sunshine,cloud,leaf,tree,boy,girl,man,woman,baby,darling,dear,sweet,kiss,dance,touch,hold,leave,stay,wait,lover,friend,enemy,ex,together,apart,promise,roberta_sentiment
Innocent,Speak Now,2010,"I guess you really did it this time
Left yourself in your war path
Lost your balance on a tightrope
Lost your mind trying to get it back

Wasn't it easier in your lunchbox days?
Always a bigger bed to crawl into
Wasn't it beautiful when you believed in everything
And everybody believed in you?

It's alright, just wait and see
Your string of lights is still bright to me
Oh, who you are is not where you've been
You're still an innocent
You're still an innocent

Did some things you can't speak of
But at night you live it all again
You wouldn't be shattered on the floor now
If only you had seen what you know now then

Wasn't it easier in your firefly-catching days?
When everything out of reach, someone bigger brought down to you
Wasn't it beautiful running wild 'til you fell asleep
Before the monsters caught up to you?

It's alright, just wait and see
Your string of lights is still bright to me
Oh, who you are is not where you've been
You're still an innocent
You're still an innocent

Time turns flames to embers
You'll have new Septembers
Every one of us has messed up too
Minds change like the weather
I hope you remember
Today is never too late to be brand new

It's alright, just wait and see
Your string of lights is still bright to me
Oh, who you are is not where you've been
You're still an innocent
You're still an innocent

You're still an innocent
You're still an innocent

Wasn't it easier in your lunchbox days?
Always a bigger bed to crawl into
Wasn't it beautiful when you believed in everything
And everybody believed in you?

Wasn't it easier in your firefly-catching days?
When everything out of reach, someone bigger brought down to you
Wasn't it beautiful running wild 'til you fell asleep
Before the monsters caught up to you?

It's alright, just wait and see
Your string of lights is still bright to me
Oh, who you are is not where you've been
You're still an innocent
You're still an innocent

You're still an innocent",358,1951,positive,0.3419,0.3419,0.3645,0.1581,,"[{'window_index': 0, 'negative': 0.2704, 'neutral': 0.5108, 'positive': 0.2188, 'signed_score': -0.0516, 'weight': 21.8632}, {'window_index': 1, 'negative': 0.0121, 'neutral': 0.1497, 'positive': 0.8382, 'signed_score': 0.8261, 'weight': 6.4031}, {'window_index': 2, 'negative': 0.0193, 'neutral': 0.1937, 'positive': 0.787, 'signed_score': 0.7677, 'weight': 15.2263}]","{'positive': 2, 'negative': 0, 'mixed': 1}",0.3399,0.6139,0,0,1,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,positive
Haunted,Speak Now,2010,"You and I walk a fragile line
I have known it all this time
But I never thought I'd live to see it break
It's getting dark and it's all too quiet
And I can't trust anything now
And it's coming over you like it's all a big mistake

Oh, I'm holding my breath
Won't lose you again
Something's made your eyes go cold

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted

Stood there and watched you walk away
From everything we had
But I still mean every word I said to you
He will try to take away my pain
And he just might make me smile
But the whole time I'm wishing he was you instead

Oh, I'm holding my breath
Won't see you again
Something keeps me holding on to nothing

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted

I know, I know
I just know
You're not gone, you can't be gone
No

Come on, come on, don't leave me like this
I thought I had you figured out
Something's gone terribly wrong
You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted

Oh, oh, oh, oh
Oh, oh, oh, oh
Oh, oh, oh, oh

You're all I wanted
Come on, come on, don't leave me like this
I thought I had you figured out
Can't breathe whenever you're gone
Can't turn back now, I'm haunted",337,1708,negative,0.533,-0.533,-0.6051,-0.2724,,"[{'window_index': 0, 'negative': 0.6522, 'neutral': 0.3006, 'positive': 0.0471, 'signed_score': -0.6051, 'weight': 26.0154}]","{'positive': 0, 'negative': 1, 'mixed': 0}",-0.1204,0.4201,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,negative
Last Kiss,Speak Now,2010,"I still remember the look on your face
Lit through the darkness at 1:58
The words that you whispered for just us to know
You told me you loved me
So why did you go away?
Away

I do recall now the smell of the rain
Fresh on the pavement, I ran off the plane
That July ninth, the beat of your heart
It jumps through your shirt
I can still feel your arms

But now I'll go sit on the floor
Wearing your clothes
All that I know is I don't know
How to be something you miss
I never thought we'd have a last kiss
Never imagined we'd end like this
Your name, forever the name on my lips

I do remember the swing of your step
The life of the party, you're showing off again
And I roll my eyes and then
You pull me in
I'm not much for dancing
But for you I did

Because I love your handshake, meeting my father
I love how you walk with your hands in your pockets
How you'd kiss me when I was in the middle of saying something
There's not a day I don't miss those rude interruptions

And I'll go sit on the floor
Wearing your clothes
All that I know is I don't know
How to be something you miss
I never thought we'd have a last kiss
Never imagined we'd end like this
Your name, forever the name on my lips

So I'll watch your life in pictures like I used to watch you sleep
And I feel you forget me like I used to feel you breathe
And I'll keep up with our old friends just to ask them how you are
Hope it's nice where you are

And I hope the sun shines
And it's a beautiful day
And something reminds you
You wish you had stayed
You can plan for a change in weather and time
But I never planned on you changing your mind

So I'll go sit on the floor
Wearing your clothes
All that I know is I don't know
How to be something you miss
And I never thought we'd have a last kiss
Never imagined we'd end like this
Your name, forever the name on my lips
Your name, forever the name on my lips

Just like our last kiss
Forever the name on my lips
Forever the name on my lips
Just like our last kiss",411,1979,positive,0.3258,0.3258,0.3467,0.2469,,"[{'window_index': 0, 'negative': 0.1077, 'neutral': 0.6643, 'positive': 0.2281, 'signed_score': 0.1204, 'weight': 21.9317}, {'window_index': 1, 'negative': 0.1287, 'neutral': 0.4346, 'positive': 0.4367, 'signed_score': 0.308, 'weight': 8.2462}, {'window_index': 2, 'negative': 0.0387, 'neutral': 0.2103, 'positive': 0.751, 'signed_score': 0.7122, 'weight': 14.4499}]","{'positive': 2, 'negative': 0, 'mixed': 1}",0.21,0.3889,0,2,0,1,0,0,0,0,0,1,6,7,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
Long Live,Speak Now,2010,"I said remember this moment
In the back of my mind
The time we stood with our shaking hands
The crowds in stands went wild
We were the kings and the queens
And they read off our names
The night you danced like you knew our lives
Would never be the same
You held your head like a hero
On a history book page
It was the end of a decade
But the start of an age

Long live the walls we crashed through
How the kingdom lights shined just for me and you
I was screaming, ""Long live all the magic we made""
And bring on all the pretenders
One day, we will be remembered

I said remember this feeling
I passed the pictures around
Of all the years that we stood there
On the sidelines wishing for right now
We are the kings and the queens
You traded your baseball cap for a crown
When they gave us our trophies
And we held them up for our town
And the cynics were outraged
Screaming, ""This is absurd""
'Cause for a moment a band of thieves
In ripped up jeans got to rule the world

Long live the walls we crashed through
How the kingdom lights shined just for me and you
I was screaming, ""Long live all the magic we made""
And bring on all the pretenders
I'm not afraid
Long live all the mountains we moved
I had the time of my life fighting dragons with you
I was screaming, ""Long live the look on your face""
And bring on all the pretenders
One day, we will be remembered

Hold on to spinning around
Confetti falls to the ground
May these memories break our fall

Will you take a moment?
Promise me this
That you'll stand by me forever
But if, God forbid, fate should step in
And force us into a goodbye
If you have children some day
When they point to the pictures
Please tell them my name
Tell them how the crowds went wild
Tell them how I hope they shine

Long live the walls we crashed through
How the kingdom lights shined just for me and you
I was screaming, ""Long live all the magic we made""
And bring on all the pretenders
I'm not afraid
Long live all the mountains we moved
I had the time of my life fighting dragons with you
I was screaming, ""Long live the look on your face""
And bring on all the pretenders
One day, we will be remembered

Long live the walls we crashed through
I had the time of my life with you

Long, long live the walls we crashed through
How the kingdom lights shined just for me and you
I was screaming, ""Long live all the magic we made""
And bring on all the pretenders
One day, we will be remembered",479,2422,positive,0.672,0.672,0.7581,0.35,0.68,"[{'window_index': 0, 'negative': 0.0214, 'neutral': 0.3204, 'positive': 0.6582, 'signed_score': 0.6369, 'weight': 22.0227}, {'window_index': 1, 'negative': 0.0154, 'neutral': 0.1092, 'positive': 0.8754, 'signed_score': 0.86, 'weight': 12.1655}, {'window_index': 2, 'negative': 0.0142, 'neutral': 0.1236, 'positive': 0.8622, 'signed_score': 0.848, 'weight': 15.9198}]","{'positive': 3, 'negative': 0, 'mixed': 0}",0.069,0.534,0,5,1,0,0,0,0,0,0,4,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,positive
State of Grace,Red,2012,"I'm walking fast through the traffic lights
Busy streets and busy lives
And all we know is touch and go
We are alone with our changing minds
We fall in love 'til it hurts or bleeds
Or fades in time

And I never saw you coming
And I'll never be the same

You come around and the armor falls
Pierce the room like a cannonball
Now all we know is don't let go
We are alone, just you and me
Up in your room and our slates are clean
Just twin fire signs, four blue eyes

So you were never a saint
And I've loved in shades of wrong
We learn to live with the pain
Mosaic broken hearts
But this love is brave and wild

And I never saw you coming
And I'll never be the same

This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right
These are the hands of fate
You're my Achilles heel
This is the golden age of something good
And right and real

And I never saw you coming
And I'll never be the same

And I never saw you coming
And I'll never be the same

This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right",230,1111,mixed,0.125,-0.125,-0.1922,0.1978,,"[{'window_index': 0, 'negative': 0.2956, 'neutral': 0.601, 'positive': 0.1034, 'signed_score': -0.1922, 'weight': 20.2938}]","{'positive': 0, 'negative': 0, 'mixed': 1}",0.1594,0.5123,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mixed
Red,Red,2012,"Loving him is like driving a new Maserati down a dead-end street
Faster than the wind, passionate as sin, ending so suddenly
Loving him is like trying to change your mind once you're already flying through the free fall
Like the colors in autumn, so bright just before they lose it all

Losing him was blue like I'd never known
Missing him was dark grey all alone
Forgetting him was like trying to know somebody you never met
But loving him was red
Loving him was red

Touching him was like realizing all you ever wanted was right there in front of you
Memorizing him was as easy as knowing all the words to your old favorite song
Fighting with him was like trying to solve a crossword and realizing there's no right answer
Regretting him was like wishing you never found out that love could be that strong

Losing him was blue like I'd never known
Missing him was dark grey all alone
Forgetting him was like trying to know somebody you never met
But loving him was red
Loving him was red

Remembering him comes in flashbacks and echoes
Tell myself it's time now, gotta let go
But moving on from him is impossible when I still see it all in my head
In burning red
Burning, it was red

Oh, losing him was blue like I'd never known
Missing him was dark grey all alone
Forgetting him was like trying to know somebody you never met
'Cause loving him was red
Yeah, yeah, red
Oh, red

We're burning red

And that's why he's spinning 'round in my head
Comes back to me, burning red
Yeah, yeah

His love was like driving a new Maserati down a dead-end street",291,1550,mixed,0.0565,0.0565,0.0351,0.1753,,"[{'window_index': 0, 'negative': 0.2377, 'neutral': 0.4895, 'positive': 0.2728, 'signed_score': 0.0351, 'weight': 23.2379}]","{'positive': 0, 'negative': 0, 'mixed': 1}",0.1276,0.3974,0,0,0,0,0,3,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mixed
Treacherous,Red,2012,"Put your lips close to mine
As long as they don't touch
Out of focus, eye to eye
'Til the gravity's too much
And I'll do anything you say
If you say it with your hands
And I'd be smart to walk away
But you're quicksand

This slope is treacherous
This path is reckless
This slope is treacherous
And I, I, I like it

I can't decide if it's a choice
Getting swept away
I hear the sound of my own voice
Asking you to stay
And all we are is skin and bone
Trained to get along
Forever going with the flow
But you're friction

This slope is treacherous
This path is reckless
This slope is treacherous
And I, I, I like it

Two headlights shine through the sleepless night
And I will get you, get you alone
Your name has echoed through my mind
And I just think you should, think you should know
That nothing safe is worth the drive
And I would follow you, follow you home
I'll follow you, follow you home

This hope is treacherous
This daydream is dangerous
This hope is treacherous
I, I, I

Two headlights shine through the sleepless night
And I will get you, get you alone
Your name has echoed through my mind
And I just think you should, think you should know
That nothing safe is worth the drive
And I would follow you, follow you home
I'll follow you, follow you home

I'll follow you, follow you home

This slope is treacherous
This path is reckless
This slope is treacherous
And I, I, I like it",269,1392,mixed,0.0094,-0.0094,-0.0345,0.0,,"[{'window_index': 0, 'negative': 0.1666, 'neutral': 0.7013, 'positive': 0.1321, 'signed_score': -0.0345, 'weight': 22.6416}]","{'positive': 0, 'negative': 0, 'mixed': 1}",0.2364,0.4743,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,mixed
I Knew You Were Trouble,Red,2012,"Once upon a time, a few mistakes ago
I was in your sights, you got me alone
You found me, you found me, you found me
I guess you didn't care, and I guess I liked that
And when I fell hard, you took a step back
Without me, without me, without me

And he's long gone when he's next to me
And I realize the blame is on me

'Cause I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground

Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

No apologies, he'll never see you cry
Pretends he doesn't know that he's the reason why
You're drowning, you're drowning, you're drowning
And I heard you moved on from whispers on the street
A new notch in your belt is all I'll ever be
And now I see, now I see, now I see

He was long gone when he met me
And I realize the joke is on me, hey!

I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground

Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

And the saddest fear comes creeping in
That you never loved me or her, or anyone, or anything, yeah

I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in (you were right there, you were right there)
So shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground

Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

I knew you were trouble when you walked in
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble",391,1923,negative,0.601,-0.601,-0.7157,0.0,,"[{'window_index': 0, 'negative': 0.5663, 'neutral': 0.3858, 'positive': 0.0479, 'signed_score': -0.5183, 'weight': 21.6564}, {'window_index': 1, 'negative': 0.8677, 'neutral': 0.1218, 'positive': 0.0105, 'signed_score': -0.8572, 'weight': 10.6771}, {'window_index': 2, 'negative': 0.8948, 'neutral': 0.0952, 'positive': 0.01, 'signed_score': -0.8848, 'weight': 16.3218}]","{'positive': 0, 'negative': 3, 'mixed': 0}",-0.1767,0.3165,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
All Too Well,Red,2012,"I walked through the door with you
The air was cold
But something about it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer even now

Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days

And I know it's long gone and that magic's not here no more
And I might be okay but I'm not fine at all

'Cause there we are again on that little town street
You almost ran the red 'cause you were looking over at me
Wind in my hair, I was there
I remember it all too well

Photo album on the counter
Your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You told me 'bout your past thinking your future was me

And I know it's long gone and there was nothing else I could do
And I forget about you long enough to forget why I needed to

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well

And maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece 'til you tore it all up
Running scared, I was there
I remember it all too well

And you call me up again just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all

They say all's well that ends well but I'm in a new hell
Every time you double-cross my mind
You said if we had been closer in age maybe it would have been fine
And that made me want to die

The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weeping in a party bathroom
Some actress asking me what happened, you
That's what happened, you

You who charmed my dad with self-effacing jokes
Sipping coffee like you're on a late-night show
But then he watched me watch the front door all night, willing you to come
And he said, ""It's supposed to be fun turning twenty-one""

Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone

But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well

Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well",576,2870,negative,0.3388,-0.3388,0.1487,-0.0413,-0.72,"[{'window_index': 0, 'negative': 0.0743, 'neutral': 0.5009, 'positive': 0.4247, 'signed_score': 0.3504, 'weight': 21.6333}, {'window_index': 1, 'negative': 0.2782, 'neutral': 0.5038, 'positive': 0.218, 'signed_score': -0.0602, 'weight': 20.8883}]","{'positive': 1, 'negative': 0, 'mixed': 1}",0.1155,0.4742,0,0,2,0,0,0,0,0,0,2,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,negative
22,Red,2012,"It feels like a perfect night to dress up like hipsters
And make fun of our exes, uh-uh, uh-uh
It feels like a perfect night for breakfast at midnight
To fall in love with strangers, uh-uh, uh-uh

Yeah
We're happy, free, confused, and lonely at the same time
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time, uh-oh!

I don't know about you
But I'm feeling 22
Everything will be alright if you keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if we just keep dancing like we're
22, ooh-ooh
22, ooh-ooh

It seems like one of those nights
This place is too crowded, too many cool kids, uh-uh, uh-uh
It seems like one of those nights
We ditch the whole scene and end up dreaming
Instead of sleeping

Yeah
We're happy, free, confused, and lonely in the best way
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the deadlines
It's time, uh-oh!

I don't know about you
But I'm feeling 22
Everything will be alright if you keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if we just keep dancing like we're
22, ooh-ooh
22, ooh-ooh

I don't know about you
22, ooh-ooh
22, ooh-ooh

It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you

Ooh, ooh, yeah
Hey!

I don't know about you
But I'm feeling 22
Everything will be alright if you keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if we just keep dancing like we're
22, ooh-ooh
22, ooh-ooh

I don't know about you
But I'm feeling 22
Everything will be alright if you keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if we just keep dancing like we're
22, ooh-ooh
22, ooh-ooh

Yeah, yeah
22, ooh-ooh
Yeah, yeah, yeah
It's time, uh-oh!
Hey!
It's time, uh-oh!
Yeah!

I don't know about you
But I'm feeling 22
So, hey!
Everything will be alright if you keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if we just keep dancing like we're
22, ooh-ooh
22, ooh-ooh",435,2268,positive,0.5472,0.5472,0.6079,0.35,,"[{'window_index': 0, 'negative': 0.1002, 'neutral': 0.3339, 'positive': 0.5659, 'signed_score': 0.4657, 'weight': 21.8403}, {'window_index': 1, 'negative': 0.0213, 'neutral': 0.1832, 'positive': 0.7955, 'signed_score': 0.7742, 'weight': 18.6676}]","{'positive': 2, 'negative': 0, 'mixed': 0}",0.1723,0.5801,1,0,4,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
I Almost Do,Red,2012,"I bet this time of night you're still up
I bet you're tired from a long hard week
I bet you're sitting in your chair by the window
Looking out at the city
And I bet sometimes you wonder about me

And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't, I almost do
I almost do

I bet you think I either moved on or hate you
'Cause each time you reach out there's no reply
I bet it never, ever occurred to you
That I can't say ""Hello"" to you
And risk another goodbye

And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't, I almost do
I almost do

Oh, we made quite a mess, babe
It's probably better off this way
And I confess, babe
In my dreams you're touching my face
And asking me if I wanna try again with you
And I almost do

And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't, I almost do
I almost do

I bet this time of night you're still up
I bet you're tired from a long hard week
I bet you're sitting in your chair by the window
Looking out at the city
And I hope sometimes you wonder about me",276,1267,negative,0.3516,-0.3516,-0.4072,-0.0602,,"[{'window_index': 0, 'negative': 0.4728, 'neutral': 0.4617, 'positive': 0.0655, 'signed_score': -0.4072, 'weight': 22.0943}]","{'positive': 0, 'negative': 1, 'mixed': 0}",-0.1458,0.5358,0,0,2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
We Are Never Ever Getting Back Together,Red,2012,"I remember when we broke up the first time
Saying, ""This is it, I've had enough,"" 'cause like
We hadn't seen each other in a month
When you said you needed space. (What?)
Then you come around again and say
""Baby, I miss you and I swear I'm gonna change, trust me.""
Remember how that lasted for a day?
I say, ""I hate you,"" we break up, you call me, ""I love you.""

Ooh, we called it off again last night
But ooh, this time I'm telling you, I'm telling you

We are never ever ever getting back together
We are never ever ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never ever ever getting back together
Like, ever

I'm really gonna miss you picking fights
And me falling for it screaming that I'm right
And you would hide away and find your peace of mind
With some indie record that's much cooler than mine

Ooh, you called me up again tonight,
But ooh, this time I'm telling you, I'm telling you

We are never ever ever getting back together
We are never ever ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never ever ever getting back together

I used to think that we were forever ever
And I used to say, ""Never say never...""
Ugh, so he calls me up and he's like, ""I still love you,""
And I'm like, ""I just... I mean this is exhausting, you know, like
We are never getting back together. Like, ever""

We are never ever ever getting back together
We are never ever ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never ever ever getting back together

We, ooh, getting back together, oh no
We, ooh, getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never ever ever getting back together",345,1782,negative,0.4401,-0.4401,-0.5378,0.0,,"[{'window_index': 0, 'negative': 0.5863, 'neutral': 0.3653, 'positive': 0.0485, 'signed_score': -0.5378, 'weight': 25.7371}]","{'positive': 0, 'negative': 1, 'mixed': 0}",0.0115,0.2115,0,1,1,0,0,0,0,0,0,3,1,13,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,negative
